"distribution","n_group1","n_group2","n_total","missing_rate","df","method","n_null","n_power","rejected","nominal_power","matched_power","ci_lower","ci_upper"
"pl",50,35,85,0,5,"flip_effective",100,100,9,0.16,0.09,0.0480725400025652,0.162262128527163
"normal",100,70,170,0,5,"flip_effective",100,100,41,0.33,0.41,0.318673130211365,0.507985699465892
"pl",100,70,170,0,5,"flip_effective",100,100,1,0.13,0.01,0.00176743206414065,0.0544861961787052
"normal",200,140,340,0,5,"flip_effective",100,100,80,0.69,0.8,0.711170834406841,0.866633066668967
"pl",200,140,340,0,5,"flip_effective",100,100,9,0.09,0.09,0.0480725400025652,0.162262128527163
"normal",50,35,85,0.15,5,"flip_effective",100,100,16,0.17,0.16,0.100952884888048,0.244202693892702
"pl",50,35,85,0.15,5,"flip_effective",100,99,8,0.141414141414141,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",100,70,170,0.15,5,"flip_effective",100,100,34,0.34,0.34,0.254615207973482,0.437222711452754
"pl",100,70,170,0.15,5,"flip_effective",99,100,3,0.11,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0.15,5,"flip_effective",100,100,61,0.63,0.61,0.512030170458408,0.699831259936056
"pl",200,140,340,0.15,5,"flip_effective",100,99,8,0.131313131313131,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",50,35,85,0.3,5,"flip_effective",99,100,21,0.24,0.21,0.141656540619153,0.299799688340898
"pl",50,35,85,0.3,5,"flip_effective",94,92,9,0.108695652173913,0.0978260869565217,0.0523237570896117,0.175567795161867
"normal",100,70,170,0.3,5,"flip_effective",100,100,31,0.28,0.31,0.227796972123761,0.406260557194894
"pl",100,70,170,0.3,5,"flip_effective",97,97,0,0.123711340206186,0,0,0.0380940425259475
"normal",200,140,340,0.3,5,"flip_effective",100,100,56,0.59,0.56,0.46228104651677,0.653279733698392
"pl",200,140,340,0.3,5,"flip_effective",98,99,3,0.101010101010101,0.0303030303030303,0.0103586395784541,0.08533680206102
"normal",50,35,85,0,5,"flip_standardized",100,100,27,0.22,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"flip_standardized",100,100,8,0.15,0.08,0.0410934614843807,0.149981077009487
"normal",100,70,170,0,5,"flip_standardized",100,100,41,0.32,0.41,0.318673130211365,0.507985699465892
"pl",100,70,170,0,5,"flip_standardized",100,100,3,0.13,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0,5,"flip_standardized",100,100,80,0.69,0.8,0.711170834406841,0.866633066668967
"pl",200,140,340,0,5,"flip_standardized",100,100,9,0.09,0.09,0.0480725400025652,0.162262128527163
"normal",50,35,85,0.15,5,"flip_standardized",100,100,16,0.17,0.16,0.100952884888048,0.244202693892702
"pl",50,35,85,0.15,5,"flip_standardized",100,99,7,0.131313131313131,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",100,70,170,0.15,5,"flip_standardized",100,100,34,0.34,0.34,0.254615207973482,0.437222711452754
"pl",100,70,170,0.15,5,"flip_standardized",99,100,3,0.11,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0.15,5,"flip_standardized",100,100,61,0.63,0.61,0.512030170458408,0.699831259936056
"pl",200,140,340,0.15,5,"flip_standardized",100,99,8,0.131313131313131,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",50,35,85,0.3,5,"flip_standardized",99,100,23,0.23,0.23,0.158432658803035,0.321543830228738
"pl",50,35,85,0.3,5,"flip_standardized",94,92,10,0.108695652173913,0.108695652173913,0.0601215235695318,0.188637824567042
"normal",100,70,170,0.3,5,"flip_standardized",100,100,31,0.28,0.31,0.227796972123761,0.406260557194894
"pl",100,70,170,0.3,5,"flip_standardized",97,97,0,0.123711340206186,0,0,0.0380940425259475
"normal",200,140,340,0.3,5,"flip_standardized",100,100,57,0.57,0.57,0.472153895492123,0.662667014758899
"pl",200,140,340,0.3,5,"flip_standardized",98,99,3,0.101010101010101,0.0303030303030303,0.0103586395784541,0.08533680206102
"normal",50,35,85,0,5,"nested_all_ml",100,100,27,0.18,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"nested_all_ml",100,100,16,0.31,0.16,0.100952884888048,0.244202693892702
"normal",100,70,170,0,5,"nested_all_ml",100,100,45,0.32,0.45,0.35614537979512,0.547553970025578
"pl",100,70,170,0,5,"nested_all_ml",100,100,6,0.23,0.06,0.0277861239631882,0.124768154458959
"normal",200,140,340,0,5,"nested_all_ml",100,100,81,0.71,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"nested_all_ml",100,100,9,0.2,0.09,0.0480725400025652,0.162262128527163
"normal",50,35,85,0.15,5,"nested_all_ml",100,100,12,0.12,0.12,0.069994064370195,0.198120994267114
"pl",50,35,85,0.15,5,"nested_all_ml",98,96,6,0.114583333333333,0.0625,0.0289566743110514,0.129709465064415
"normal",100,70,170,0.15,5,"nested_all_ml",100,100,39,0.32,0.39,0.300168740063944,0.487969829541593
"pl",100,70,170,0.15,5,"nested_all_ml",98,99,8,0.202020202020202,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",200,140,340,0.15,5,"nested_all_ml",100,100,69,0.66,0.69,0.593739442805106,0.772203027876239
"pl",200,140,340,0.15,5,"nested_all_ml",100,99,7,0.181818181818182,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0.3,5,"nested_all_ml",94,98,17,0.13265306122449,0.173469387755102,0.111221318296419,0.260350920150393
"pl",50,35,85,0.3,5,"nested_all_ml",83,86,1,0.0348837209302326,0.0116279069767442,0.00205556866524957,0.0629640658929171
"normal",100,70,170,0.3,5,"nested_all_ml",100,100,30,0.26,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"nested_all_ml",96,97,5,0.175257731958763,0.0515463917525773,0.0222160510375106,0.115043554114628
"normal",200,140,340,0.3,5,"nested_all_ml",100,100,56,0.62,0.56,0.46228104651677,0.653279733698392
"pl",200,140,340,0.3,5,"nested_all_ml",98,96,7,0.197916666666667,0.0729166666666667,0.0357675813103628,0.142930316651402
"normal",50,35,85,0,5,"nested_mv_ml",100,100,27,0.18,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"nested_mv_ml",100,100,16,0.31,0.16,0.100952884888048,0.244202693892702
"normal",100,70,170,0,5,"nested_mv_ml",100,100,45,0.32,0.45,0.35614537979512,0.547553970025578
"pl",100,70,170,0,5,"nested_mv_ml",100,100,6,0.23,0.06,0.0277861239631882,0.124768154458959
"normal",200,140,340,0,5,"nested_mv_ml",100,100,81,0.71,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"nested_mv_ml",100,100,9,0.2,0.09,0.0480725400025652,0.162262128527163
"normal",50,35,85,0.15,5,"nested_mv_ml",100,100,12,0.12,0.12,0.069994064370195,0.198120994267114
"pl",50,35,85,0.15,5,"nested_mv_ml",98,96,6,0.114583333333333,0.0625,0.0289566743110514,0.129709465064415
"normal",100,70,170,0.15,5,"nested_mv_ml",100,100,39,0.32,0.39,0.300168740063944,0.487969829541593
"pl",100,70,170,0.15,5,"nested_mv_ml",98,99,8,0.202020202020202,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",200,140,340,0.15,5,"nested_mv_ml",100,100,69,0.66,0.69,0.593739442805106,0.772203027876239
"pl",200,140,340,0.15,5,"nested_mv_ml",100,99,7,0.181818181818182,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0.3,5,"nested_mv_ml",94,98,17,0.13265306122449,0.173469387755102,0.111221318296419,0.260350920150393
"pl",50,35,85,0.3,5,"nested_mv_ml",83,86,1,0.0348837209302326,0.0116279069767442,0.00205556866524957,0.0629640658929171
"normal",100,70,170,0.3,5,"nested_mv_ml",100,100,30,0.26,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"nested_mv_ml",96,97,5,0.175257731958763,0.0515463917525773,0.0222160510375106,0.115043554114628
"normal",200,140,340,0.3,5,"nested_mv_ml",100,100,56,0.62,0.56,0.46228104651677,0.653279733698392
"pl",200,140,340,0.3,5,"nested_mv_ml",98,96,7,0.197916666666667,0.0729166666666667,0.0357675813103628,0.142930316651402
"normal",50,35,85,0,5,"nested_peba4_ml",100,100,27,0.18,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"nested_peba4_ml",100,100,15,0.37,0.15,0.0930598528365664,0.232835595908323
"normal",100,70,170,0,5,"nested_peba4_ml",100,100,45,0.34,0.45,0.35614537979512,0.547553970025578
"pl",100,70,170,0,5,"nested_peba4_ml",100,100,6,0.33,0.06,0.0277861239631882,0.124768154458959
"normal",200,140,340,0,5,"nested_peba4_ml",100,100,81,0.72,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"nested_peba4_ml",100,100,9,0.23,0.09,0.0480725400025652,0.162262128527163
"normal",50,35,85,0.15,5,"nested_peba4_ml",100,100,12,0.12,0.12,0.069994064370195,0.198120994267114
"pl",50,35,85,0.15,5,"nested_peba4_ml",98,96,5,0.145833333333333,0.0520833333333333,0.0224496004742415,0.116184780314926
"normal",100,70,170,0.15,5,"nested_peba4_ml",100,100,39,0.33,0.39,0.300168740063944,0.487969829541593
"pl",100,70,170,0.15,5,"nested_peba4_ml",98,99,8,0.222222222222222,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",200,140,340,0.15,5,"nested_peba4_ml",100,100,69,0.67,0.69,0.593739442805106,0.772203027876239
"pl",200,140,340,0.15,5,"nested_peba4_ml",100,99,7,0.222222222222222,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0.3,5,"nested_peba4_ml",94,98,20,0.163265306122449,0.204081632653061,0.136177011386092,0.294310329706331
"pl",50,35,85,0.3,5,"nested_peba4_ml",83,86,2,0.0465116279069767,0.0232558139534884,0.00640092620427087,0.0808801456263204
"normal",100,70,170,0.3,5,"nested_peba4_ml",100,100,29,0.26,0.29,0.210148357491223,0.385388911755711
"pl",100,70,170,0.3,5,"nested_peba4_ml",96,97,6,0.195876288659794,0.0618556701030928,0.0286548857157183,0.128437831961658
"normal",200,140,340,0.3,5,"nested_peba4_ml",100,100,56,0.63,0.56,0.46228104651677,0.653279733698392
"pl",200,140,340,0.3,5,"nested_peba4_ml",98,96,6,0.21875,0.0625,0.0289566743110514,0.129709465064415
"normal",50,35,85,0,5,"nested_sb_ml",100,100,27,0.18,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"nested_sb_ml",100,100,14,0.37,0.14,0.0852634365993914,0.221371882109638
"normal",100,70,170,0,5,"nested_sb_ml",100,100,45,0.34,0.45,0.35614537979512,0.547553970025578
"pl",100,70,170,0,5,"nested_sb_ml",100,100,6,0.33,0.06,0.0277861239631882,0.124768154458959
"normal",200,140,340,0,5,"nested_sb_ml",100,100,81,0.72,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"nested_sb_ml",100,100,9,0.23,0.09,0.0480725400025652,0.162262128527163
"normal",50,35,85,0.15,5,"nested_sb_ml",100,100,12,0.12,0.12,0.069994064370195,0.198120994267114
"pl",50,35,85,0.15,5,"nested_sb_ml",98,96,5,0.15625,0.0520833333333333,0.0224496004742415,0.116184780314926
"normal",100,70,170,0.15,5,"nested_sb_ml",100,100,39,0.33,0.39,0.300168740063944,0.487969829541593
"pl",100,70,170,0.15,5,"nested_sb_ml",98,99,8,0.232323232323232,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",200,140,340,0.15,5,"nested_sb_ml",100,100,69,0.68,0.69,0.593739442805106,0.772203027876239
"pl",200,140,340,0.15,5,"nested_sb_ml",100,99,7,0.222222222222222,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0.3,5,"nested_sb_ml",94,98,20,0.163265306122449,0.204081632653061,0.136177011386092,0.294310329706331
"pl",50,35,85,0.3,5,"nested_sb_ml",83,86,2,0.0930232558139535,0.0232558139534884,0.00640092620427087,0.0808801456263204
"normal",100,70,170,0.3,5,"nested_sb_ml",100,100,29,0.26,0.29,0.210148357491223,0.385388911755711
"pl",100,70,170,0.3,5,"nested_sb_ml",96,97,6,0.206185567010309,0.0618556701030928,0.0286548857157183,0.128437831961658
"normal",200,140,340,0.3,5,"nested_sb_ml",100,100,56,0.64,0.56,0.46228104651677,0.653279733698392
"pl",200,140,340,0.3,5,"nested_sb_ml",98,96,5,0.21875,0.0520833333333333,0.0224496004742415,0.116184780314926
"normal",50,35,85,0,5,"nested_ss_ml",100,100,27,0.18,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"nested_ss_ml",100,100,16,0.31,0.16,0.100952884888048,0.244202693892702
"normal",100,70,170,0,5,"nested_ss_ml",100,100,45,0.32,0.45,0.35614537979512,0.547553970025578
"pl",100,70,170,0,5,"nested_ss_ml",100,100,6,0.26,0.06,0.0277861239631882,0.124768154458959
"normal",200,140,340,0,5,"nested_ss_ml",100,100,81,0.71,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"nested_ss_ml",100,100,9,0.2,0.09,0.0480725400025652,0.162262128527163
"normal",50,35,85,0.15,5,"nested_ss_ml",100,100,12,0.12,0.12,0.069994064370195,0.198120994267114
"pl",50,35,85,0.15,5,"nested_ss_ml",98,96,5,0.114583333333333,0.0520833333333333,0.0224496004742415,0.116184780314926
"normal",100,70,170,0.15,5,"nested_ss_ml",100,100,39,0.32,0.39,0.300168740063944,0.487969829541593
"pl",100,70,170,0.15,5,"nested_ss_ml",98,99,8,0.212121212121212,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",200,140,340,0.15,5,"nested_ss_ml",100,100,69,0.66,0.69,0.593739442805106,0.772203027876239
"pl",200,140,340,0.15,5,"nested_ss_ml",100,99,7,0.181818181818182,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0.3,5,"nested_ss_ml",94,98,17,0.142857142857143,0.173469387755102,0.111221318296419,0.260350920150393
"pl",50,35,85,0.3,5,"nested_ss_ml",83,86,1,0.0348837209302326,0.0116279069767442,0.00205556866524957,0.0629640658929171
"normal",100,70,170,0.3,5,"nested_ss_ml",100,100,30,0.26,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"nested_ss_ml",96,97,6,0.175257731958763,0.0618556701030928,0.0286548857157183,0.128437831961658
"normal",200,140,340,0.3,5,"nested_ss_ml",100,100,56,0.62,0.56,0.46228104651677,0.653279733698392
"pl",200,140,340,0.3,5,"nested_ss_ml",98,96,6,0.208333333333333,0.0625,0.0289566743110514,0.129709465064415
"normal",50,35,85,0,5,"nested_std_ml",100,100,25,0.21,0.25,0.175452113622877,0.343044635480616
"pl",50,35,85,0,5,"nested_std_ml",100,100,8,0.94,0.08,0.0410934614843807,0.149981077009487
"normal",100,70,170,0,5,"nested_std_ml",100,100,43,0.37,0.43,0.337332985241101,0.527846104507877
"pl",100,70,170,0,5,"nested_std_ml",100,100,4,0.92,0.04,0.0156633039915476,0.098370714358879
"normal",200,140,340,0,5,"nested_std_ml",100,100,82,0.73,0.82,0.733326416136993,0.882997745010536
"pl",200,140,340,0,5,"nested_std_ml",100,100,5,0.99,0.05,0.021543679154368,0.111750469231919
"normal",50,35,85,0.15,5,"nested_std_ml",100,100,17,0.2,0.17,0.108935661140599,0.255480047676011
"pl",50,35,85,0.15,5,"nested_std_ml",98,96,9,0.927083333333333,0.09375,0.0501081082121461,0.168653306922215
"normal",100,70,170,0.15,5,"nested_std_ml",100,100,42,0.35,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0.15,5,"nested_std_ml",98,99,5,0.919191919191919,0.0505050505050505,0.0217632344914169,0.112827026862488
"normal",200,140,340,0.15,5,"nested_std_ml",100,100,69,0.68,0.69,0.593739442805106,0.772203027876239
"pl",200,140,340,0.15,5,"nested_std_ml",100,99,8,0.96969696969697,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",50,35,85,0.3,5,"nested_std_ml",94,98,19,0.244897959183673,0.193877551020408,0.127780729745377,0.283068243798508
"pl",50,35,85,0.3,5,"nested_std_ml",83,86,3,0.918604651162791,0.0348837209302326,0.0119337980774084,0.0976087110256075
"normal",100,70,170,0.3,5,"nested_std_ml",100,100,29,0.31,0.29,0.210148357491223,0.385388911755711
"pl",100,70,170,0.3,5,"nested_std_ml",96,97,7,0.927835051546392,0.0721649484536082,0.035394158308665,0.14153167189395
"normal",200,140,340,0.3,5,"nested_std_ml",100,100,58,0.67,0.58,0.48206486703043,0.672016173256452
"pl",200,140,340,0.3,5,"nested_std_ml",98,96,7,0.958333333333333,0.0729166666666667,0.0357675813103628,0.142930316651402
"normal",50,35,85,0,5,"score_all",100,100,27,0.18,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"score_all",100,100,8,0.04,0.08,0.0410934614843807,0.149981077009487
"normal",100,70,170,0,5,"score_all",100,100,42,0.32,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0,5,"score_all",100,100,3,0.03,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0,5,"score_all",100,100,81,0.69,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"score_all",100,100,7,0.05,0.07,0.0343192610672727,0.137495147390735
"normal",50,35,85,0.15,5,"score_all",100,100,20,0.19,0.2,0.133366933331033,0.288829165593159
"pl",50,35,85,0.15,5,"score_all",100,99,6,0.0303030303030303,0.0606060606060606,0.0280697974462215,0.125967873764899
"normal",100,70,170,0.15,5,"score_all",100,100,40,0.31,0.4,0.309401286432459,0.497997413208938
"pl",100,70,170,0.15,5,"score_all",99,100,7,0.05,0.07,0.0343192610672727,0.137495147390735
"normal",200,140,340,0.15,5,"score_all",100,100,68,0.66,0.68,0.583373813895476,0.763308526750009
"pl",200,140,340,0.15,5,"score_all",100,99,8,0.0707070707070707,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",50,35,85,0.3,5,"score_all",99,100,22,0.21,0.22,0.150012823846054,0.310703535149858
"pl",50,35,85,0.3,5,"score_all",94,92,8,0.0217391304347826,0.0869565217391304,0.0447211889637937,0.162302567402589
"normal",100,70,170,0.3,5,"score_all",100,100,30,0.27,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"score_all",97,97,1,0.0309278350515464,0.0103092783505155,0.00182216480828685,0.0561049902428989
"normal",200,140,340,0.3,5,"score_all",100,100,54,0.63,0.54,0.442648603233682,0.634391916909759
"pl",200,140,340,0.3,5,"score_all",98,99,4,0.0404040404040404,0.0404040404040404,0.0158226389941476,0.0993202125025421
"normal",50,35,85,0,5,"score_chisq",100,100,25,0.19,0.25,0.175452113622877,0.343044635480616
"pl",50,35,85,0,5,"score_chisq",100,100,11,0.92,0.11,0.0625419635706458,0.186312965030803
"normal",100,70,170,0,5,"score_chisq",100,100,42,0.36,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0,5,"score_chisq",100,100,5,0.92,0.05,0.021543679154368,0.111750469231919
"normal",200,140,340,0,5,"score_chisq",100,100,82,0.7,0.82,0.733326416136993,0.882997745010536
"pl",200,140,340,0,5,"score_chisq",100,100,7,0.99,0.07,0.0343192610672727,0.137495147390735
"normal",50,35,85,0.15,5,"score_chisq",100,100,14,0.19,0.14,0.0852634365993914,0.221371882109638
"pl",50,35,85,0.15,5,"score_chisq",100,99,11,0.878787878787879,0.111111111111111,0.0631856345385748,0.188089085958624
"normal",100,70,170,0.15,5,"score_chisq",100,100,42,0.33,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0.15,5,"score_chisq",99,100,5,0.9,0.05,0.021543679154368,0.111750469231919
"normal",200,140,340,0.15,5,"score_chisq",100,100,68,0.66,0.68,0.583373813895476,0.763308526750009
"pl",200,140,340,0.15,5,"score_chisq",100,99,8,0.96969696969697,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",50,35,85,0.3,5,"score_chisq",99,100,21,0.23,0.21,0.141656540619153,0.299799688340898
"pl",50,35,85,0.3,5,"score_chisq",94,92,6,0.826086956521739,0.0652173913043478,0.0302302033231341,0.135057961273059
"normal",100,70,170,0.3,5,"score_chisq",100,100,27,0.27,0.27,0.192695841495764,0.36432116767945
"pl",100,70,170,0.3,5,"score_chisq",97,97,4,0.876288659793814,0.0412371134020619,0.0161512365861632,0.101275256040737
"normal",200,140,340,0.3,5,"score_chisq",100,100,58,0.65,0.58,0.48206486703043,0.672016173256452
"pl",200,140,340,0.3,5,"score_chisq",98,99,7,0.939393939393939,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0,5,"score_mv",100,100,27,0.17,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"score_mv",100,100,8,0.04,0.08,0.0410934614843807,0.149981077009487
"normal",100,70,170,0,5,"score_mv",100,100,42,0.31,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0,5,"score_mv",100,100,3,0.03,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0,5,"score_mv",100,100,81,0.69,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"score_mv",100,100,7,0.05,0.07,0.0343192610672727,0.137495147390735
"normal",50,35,85,0.15,5,"score_mv",100,100,20,0.18,0.2,0.133366933331033,0.288829165593159
"pl",50,35,85,0.15,5,"score_mv",100,99,7,0.0303030303030303,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",100,70,170,0.15,5,"score_mv",100,100,39,0.31,0.39,0.300168740063944,0.487969829541593
"pl",100,70,170,0.15,5,"score_mv",99,100,7,0.05,0.07,0.0343192610672727,0.137495147390735
"normal",200,140,340,0.15,5,"score_mv",100,100,68,0.66,0.68,0.583373813895476,0.763308526750009
"pl",200,140,340,0.15,5,"score_mv",100,99,8,0.0707070707070707,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",50,35,85,0.3,5,"score_mv",99,100,22,0.21,0.22,0.150012823846054,0.310703535149858
"pl",50,35,85,0.3,5,"score_mv",94,92,7,0.0217391304347826,0.0760869565217391,0.0373435597096155,0.148812400771672
"normal",100,70,170,0.3,5,"score_mv",100,100,30,0.27,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"score_mv",97,97,1,0.0309278350515464,0.0103092783505155,0.00182216480828685,0.0561049902428989
"normal",200,140,340,0.3,5,"score_mv",100,100,54,0.63,0.54,0.442648603233682,0.634391916909759
"pl",200,140,340,0.3,5,"score_mv",98,99,4,0.0404040404040404,0.0404040404040404,0.0158226389941476,0.0993202125025421
"normal",50,35,85,0,5,"score_peba4",100,100,27,0.19,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"score_peba4",100,100,8,0.09,0.08,0.0410934614843807,0.149981077009487
"normal",100,70,170,0,5,"score_peba4",100,100,42,0.33,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0,5,"score_peba4",100,100,3,0.04,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0,5,"score_peba4",100,100,81,0.69,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"score_peba4",100,100,7,0.09,0.07,0.0343192610672727,0.137495147390735
"normal",50,35,85,0.15,5,"score_peba4",100,100,20,0.2,0.2,0.133366933331033,0.288829165593159
"pl",50,35,85,0.15,5,"score_peba4",100,99,6,0.0606060606060606,0.0606060606060606,0.0280697974462215,0.125967873764899
"normal",100,70,170,0.15,5,"score_peba4",100,100,40,0.35,0.4,0.309401286432459,0.497997413208938
"pl",100,70,170,0.15,5,"score_peba4",99,100,4,0.08,0.04,0.0156633039915476,0.098370714358879
"normal",200,140,340,0.15,5,"score_peba4",100,100,68,0.66,0.68,0.583373813895476,0.763308526750009
"pl",200,140,340,0.15,5,"score_peba4",100,99,7,0.101010101010101,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0.3,5,"score_peba4",99,100,22,0.23,0.22,0.150012823846054,0.310703535149858
"pl",50,35,85,0.3,5,"score_peba4",94,92,9,0.0434782608695652,0.0978260869565217,0.0523237570896117,0.175567795161867
"normal",100,70,170,0.3,5,"score_peba4",100,100,30,0.3,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"score_peba4",97,97,1,0.0515463917525773,0.0103092783505155,0.00182216480828685,0.0561049902428989
"normal",200,140,340,0.3,5,"score_peba4",100,100,54,0.64,0.54,0.442648603233682,0.634391916909759
"pl",200,140,340,0.3,5,"score_peba4",98,99,4,0.0606060606060606,0.0404040404040404,0.0158226389941476,0.0993202125025421
"normal",50,35,85,0,5,"score_sandwich",100,100,16,0.14,0.16,0.100952884888048,0.244202693892702
"pl",50,35,85,0,5,"score_sandwich",100,100,4,0,0.04,0.0156633039915476,0.098370714358879
"normal",100,70,170,0,5,"score_sandwich",100,100,34,0.3,0.34,0.254615207973482,0.437222711452754
"pl",100,70,170,0,5,"score_sandwich",100,100,7,0.05,0.07,0.0343192610672727,0.137495147390735
"normal",200,140,340,0,5,"score_sandwich",100,100,78,0.68,0.78,0.689296464850142,0.849987176153946
"pl",200,140,340,0,5,"score_sandwich",100,100,3,0.06,0.03,0.0102545240240389,0.0845193642905274
"normal",50,35,85,0.15,5,"score_sandwich",100,100,15,0.14,0.15,0.0930598528365664,0.232835595908323
"pl",50,35,85,0.15,5,"score_sandwich",100,99,7,0.0404040404040404,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",100,70,170,0.15,5,"score_sandwich",100,100,22,0.23,0.22,0.150012823846054,0.310703535149858
"pl",100,70,170,0.15,5,"score_sandwich",99,100,7,0.08,0.07,0.0343192610672727,0.137495147390735
