"cell_id","p","n","df","n_over_df","distribution","truth","method","n_valid","rejected","rejection_rate","ci_lower","ci_upper"
9,5,100,5,20,"normal","power","gof_all_ml",100,27,0.27,0.192695841495764,0.36432116767945
9,5,100,5,20,"normal","power","gof_all_rls",100,25,0.25,0.175452113622877,0.343044635480616
9,5,100,5,20,"normal","power","gof_mv_ml",100,27,0.27,0.192695841495764,0.36432116767945
9,5,100,5,20,"normal","power","gof_mv_rls",100,25,0.25,0.175452113622877,0.343044635480616
9,5,100,5,20,"normal","power","gof_peba4_ml",100,29,0.29,0.210148357491223,0.385388911755711
9,5,100,5,20,"normal","power","gof_peba4_rls",100,30,0.3,0.218948852949328,0.395848546333466
9,5,100,5,20,"normal","power","gof_sb_ml",100,29,0.29,0.210148357491223,0.385388911755711
9,5,100,5,20,"normal","power","gof_sb_rls",100,30,0.3,0.218948852949328,0.395848546333466
9,5,100,5,20,"normal","power","gof_ss_ml",100,28,0.28,0.201396852111862,0.374880287099211
9,5,100,5,20,"normal","power","gof_ss_rls",100,25,0.25,0.175452113622877,0.343044635480616
9,5,100,5,20,"normal","power","gof_std_ml",100,27,0.27,0.192695841495764,0.36432116767945
9,5,100,5,20,"normal","power","gof_std_rls",100,28,0.28,0.201396852111862,0.374880287099211
10,20,100,170,0.588235294117647,"normal","power","flip_effective",100,19,0.19,0.125147515097687,0.277788453790644
10,20,100,170,0.588235294117647,"normal","power","flip_standardized",0,0,NA,NA,NA
10,20,100,170,0.588235294117647,"normal","power","flip_standardized_chisq",0,0,NA,NA,NA
10,20,100,170,0.588235294117647,"normal","power","gof_all_ml",100,7,0.07,0.0343192610672727,0.137495147390735
10,20,100,170,0.588235294117647,"normal","power","gof_all_rls",100,1,0.01,0.00176743206414065,0.0544861961787052
10,20,100,170,0.588235294117647,"normal","power","gof_mv_ml",100,9,0.09,0.0480725400025652,0.162262128527163
10,20,100,170,0.588235294117647,"normal","power","gof_mv_rls",100,1,0.01,0.00176743206414065,0.0544861961787052
10,20,100,170,0.588235294117647,"normal","power","gof_peba4_ml",100,34,0.34,0.254615207973482,0.437222711452754
10,20,100,170,0.588235294117647,"normal","power","gof_peba4_rls",100,16,0.16,0.100952884888048,0.244202693892702
10,20,100,170,0.588235294117647,"normal","power","gof_sb_ml",100,47,0.47,0.375108179593413,0.567111430299006
10,20,100,170,0.588235294117647,"normal","power","gof_sb_rls",100,21,0.21,0.141656540619153,0.299799688340898
10,20,100,170,0.588235294117647,"normal","power","gof_ss_ml",100,10,0.1,0.0552291370606752,0.174365661504913
10,20,100,170,0.588235294117647,"normal","power","gof_ss_rls",100,2,0.02,0.00550196755016236,0.0700117907285438
10,20,100,170,0.588235294117647,"normal","power","gof_std_ml",100,46,0.46,0.365608083090241,0.557351396766318
10,20,100,170,0.588235294117647,"normal","power","gof_std_rls",100,22,0.22,0.150012823846054,0.310703535149858
11,5,400,5,80,"normal","power","flip_effective",100,88,0.88,0.801879005732886,0.930005935629805
11,5,400,5,80,"normal","power","flip_standardized",100,85,0.85,0.767164404091677,0.906940147163434
11,5,400,5,80,"normal","power","flip_standardized_chisq",100,83,0.83,0.744519952323989,0.891064338859401
11,5,400,5,80,"normal","power","gof_all_ml",100,88,0.88,0.801879005732886,0.930005935629805
11,5,400,5,80,"normal","power","gof_all_rls",100,89,0.89,0.813687034969197,0.937458036429354
11,5,400,5,80,"normal","power","gof_mv_ml",100,88,0.88,0.801879005732886,0.930005935629805
11,5,400,5,80,"normal","power","gof_mv_rls",100,89,0.89,0.813687034969197,0.937458036429354
11,5,400,5,80,"normal","power","gof_peba4_ml",100,88,0.88,0.801879005732886,0.930005935629805
11,5,400,5,80,"normal","power","gof_peba4_rls",100,89,0.89,0.813687034969197,0.937458036429354
11,5,400,5,80,"normal","power","gof_sb_ml",100,88,0.88,0.801879005732886,0.930005935629805
11,5,400,5,80,"normal","power","gof_sb_rls",100,89,0.89,0.813687034969197,0.937458036429354
11,5,400,5,80,"normal","power","gof_ss_ml",100,88,0.88,0.801879005732886,0.930005935629805
11,5,400,5,80,"normal","power","gof_ss_rls",100,89,0.89,0.813687034969197,0.937458036429354
11,5,400,5,80,"normal","power","gof_std_ml",100,89,0.89,0.813687034969197,0.937458036429354
11,5,400,5,80,"normal","power","gof_std_rls",100,89,0.89,0.813687034969197,0.937458036429354
12,20,400,170,2.35294117647059,"normal","power","flip_effective",100,42,0.42,0.327983826743548,0.51793513296957
12,20,400,170,2.35294117647059,"normal","power","flip_standardized",100,44,0.44,0.346720266301608,0.53771895348323
12,20,400,170,2.35294117647059,"normal","power","flip_standardized_chisq",100,22,0.22,0.150012823846054,0.310703535149858
12,20,400,170,2.35294117647059,"normal","power","gof_all_ml",100,32,0.32,0.236691473249991,0.416626186104524
12,20,400,170,2.35294117647059,"normal","power","gof_all_rls",100,26,0.26,0.184046984647481,0.353709894491872
12,20,400,170,2.35294117647059,"normal","power","gof_mv_ml",100,32,0.32,0.236691473249991,0.416626186104524
12,20,400,170,2.35294117647059,"normal","power","gof_mv_rls",100,26,0.26,0.184046984647481,0.353709894491872
12,20,400,170,2.35294117647059,"normal","power","gof_peba4_ml",100,44,0.44,0.346720266301608,0.53771895348323
12,20,400,170,2.35294117647059,"normal","power","gof_peba4_rls",100,38,0.38,0.290975992524788,0.477902447044889
12,20,400,170,2.35294117647059,"normal","power","gof_sb_ml",100,47,0.47,0.375108179593413,0.567111430299006
12,20,400,170,2.35294117647059,"normal","power","gof_sb_rls",100,45,0.45,0.35614537979512,0.547553970025578
12,20,400,170,2.35294117647059,"normal","power","gof_ss_ml",100,32,0.32,0.236691473249991,0.416626186104524
12,20,400,170,2.35294117647059,"normal","power","gof_ss_rls",100,27,0.27,0.192695841495764,0.36432116767945
12,20,400,170,2.35294117647059,"normal","power","gof_std_ml",100,47,0.47,0.375108179593413,0.567111430299006
12,20,400,170,2.35294117647059,"normal","power","gof_std_rls",100,42,0.42,0.327983826743548,0.51793513296957
13,5,100,5,20,"pl","power","flip_effective",100,19,0.19,0.125147515097687,0.277788453790644
13,5,100,5,20,"pl","power","flip_standardized",100,19,0.19,0.125147515097687,0.277788453790644
13,5,100,5,20,"pl","power","flip_standardized_chisq",100,6,0.06,0.0277861239631882,0.124768154458959
13,5,100,5,20,"pl","power","gof_all_ml",100,11,0.11,0.0625419635706458,0.186312965030803
13,5,100,5,20,"pl","power","gof_all_rls",100,6,0.06,0.0277861239631882,0.124768154458959
13,5,100,5,20,"pl","power","gof_mv_ml",100,11,0.11,0.0625419635706458,0.186312965030803
13,5,100,5,20,"pl","power","gof_mv_rls",100,6,0.06,0.0277861239631882,0.124768154458959
13,5,100,5,20,"pl","power","gof_peba4_ml",100,17,0.17,0.108935661140599,0.255480047676011
13,5,100,5,20,"pl","power","gof_peba4_rls",100,15,0.15,0.0930598528365664,0.232835595908323
13,5,100,5,20,"pl","power","gof_sb_ml",100,21,0.21,0.141656540619153,0.299799688340898
13,5,100,5,20,"pl","power","gof_sb_rls",100,16,0.16,0.100952884888048,0.244202693892702
13,5,100,5,20,"pl","power","gof_ss_ml",100,11,0.11,0.0625419635706458,0.186312965030803
13,5,100,5,20,"pl","power","gof_ss_rls",100,6,0.06,0.0277861239631882,0.124768154458959
13,5,100,5,20,"pl","power","gof_std_ml",100,79,0.79,0.700200311659102,0.858343459380847
13,5,100,5,20,"pl","power","gof_std_rls",100,79,0.79,0.700200311659102,0.858343459380847
14,20,100,170,0.588235294117647,"pl","power","flip_effective",100,30,0.3,0.218948852949328,0.395848546333466
14,20,100,170,0.588235294117647,"pl","power","flip_standardized",0,0,NA,NA,NA
14,20,100,170,0.588235294117647,"pl","power","flip_standardized_chisq",0,0,NA,NA,NA
14,20,100,170,0.588235294117647,"pl","power","gof_all_ml",100,0,0,0,0.0369934982069855
14,20,100,170,0.588235294117647,"pl","power","gof_all_rls",100,0,0,0,0.0369934982069855
14,20,100,170,0.588235294117647,"pl","power","gof_mv_ml",100,0,0,0,0.0369934982069855
14,20,100,170,0.588235294117647,"pl","power","gof_mv_rls",100,0,0,0,0.0369934982069855
14,20,100,170,0.588235294117647,"pl","power","gof_peba4_ml",100,35,0.35,0.263642482430975,0.44745556703112
14,20,100,170,0.588235294117647,"pl","power","gof_peba4_rls",100,20,0.2,0.133366933331033,0.288829165593159
14,20,100,170,0.588235294117647,"pl","power","gof_sb_ml",100,62,0.62,0.522097552955111,0.709024007475212
14,20,100,170,0.588235294117647,"pl","power","gof_sb_rls",100,41,0.41,0.318673130211365,0.507985699465892
14,20,100,170,0.588235294117647,"pl","power","gof_ss_ml",100,0,0,0,0.0369934982069855
14,20,100,170,0.588235294117647,"pl","power","gof_ss_rls",100,0,0,0,0.0369934982069855
14,20,100,170,0.588235294117647,"pl","power","gof_std_ml",100,100,1,0.963006501793014,1
14,20,100,170,0.588235294117647,"pl","power","gof_std_rls",100,100,1,0.963006501793014,1
15,5,400,5,80,"pl","power","flip_effective",100,35,0.35,0.263642482430975,0.44745556703112
15,5,400,5,80,"pl","power","flip_standardized",100,34,0.34,0.254615207973482,0.437222711452754
15,5,400,5,80,"pl","power","flip_standardized_chisq",100,18,0.18,0.117002254989464,0.266673583863007
15,5,400,5,80,"pl","power","gof_all_ml",100,24,0.24,0.166913255569488,0.332323363498145
15,5,400,5,80,"pl","power","gof_all_rls",100,25,0.25,0.175452113622877,0.343044635480616
15,5,400,5,80,"pl","power","gof_mv_ml",100,23,0.23,0.158432658803035,0.321543830228738
15,5,400,5,80,"pl","power","gof_mv_rls",100,25,0.25,0.175452113622877,0.343044635480616
15,5,400,5,80,"pl","power","gof_peba4_ml",100,30,0.3,0.218948852949328,0.395848546333466
15,5,400,5,80,"pl","power","gof_peba4_rls",100,31,0.31,0.227796972123761,0.406260557194894
15,5,400,5,80,"pl","power","gof_sb_ml",100,35,0.35,0.263642482430975,0.44745556703112
15,5,400,5,80,"pl","power","gof_sb_rls",100,38,0.38,0.290975992524788,0.477902447044889
15,5,400,5,80,"pl","power","gof_ss_ml",100,24,0.24,0.166913255569488,0.332323363498145
15,5,400,5,80,"pl","power","gof_ss_rls",100,25,0.25,0.175452113622877,0.343044635480616
15,5,400,5,80,"pl","power","gof_std_ml",100,92,0.92,0.850018922990513,0.958906538515619
15,5,400,5,80,"pl","power","gof_std_rls",100,91,0.91,0.837737871472837,0.951927459997435
16,20,400,170,2.35294117647059,"pl","power","flip_effective",100,19,0.19,0.125147515097687,0.277788453790644
16,20,400,170,2.35294117647059,"pl","power","flip_standardized",100,18,0.18,0.117002254989464,0.266673583863007
16,20,400,170,2.35294117647059,"pl","power","flip_standardized_chisq",100,1,0.01,0.00176743206414065,0.0544861961787052
16,20,400,170,2.35294117647059,"pl","power","gof_all_ml",100,0,0,0,0.0369934982069855
16,20,400,170,2.35294117647059,"pl","power","gof_all_rls",100,0,0,0,0.0369934982069855
16,20,400,170,2.35294117647059,"pl","power","gof_mv_ml",100,0,0,0,0.0369934982069855
16,20,400,170,2.35294117647059,"pl","power","gof_mv_rls",100,0,0,0,0.0369934982069855
16,20,400,170,2.35294117647059,"pl","power","gof_peba4_ml",100,13,0.13,0.0775716742724052,0.209803514400764
16,20,400,170,2.35294117647059,"pl","power","gof_peba4_rls",100,14,0.14,0.0852634365993914,0.221371882109638
16,20,400,170,2.35294117647059,"pl","power","gof_sb_ml",100,19,0.19,0.125147515097687,0.277788453790644
16,20,400,170,2.35294117647059,"pl","power","gof_sb_rls",100,20,0.2,0.133366933331033,0.288829165593159
16,20,400,170,2.35294117647059,"pl","power","gof_ss_ml",100,0,0,0,0.0369934982069855
16,20,400,170,2.35294117647059,"pl","power","gof_ss_rls",100,0,0,0,0.0369934982069855
16,20,400,170,2.35294117647059,"pl","power","gof_std_ml",100,100,1,0.963006501793014,1
16,20,400,170,2.35294117647059,"pl","power","gof_std_rls",100,100,1,0.963006501793014,1
